sep=,
From: 2019-07-01,Store: googleplay,Cid: 260418,To: 2021-12-31,Ext_id: co.uk.getmondo
Submission date,AppID,AppName,Country,Review Language,Version,Author,Rating,Title,Review,Translated title,Translated review,Reply Date,Reply Delta,Developer Reply,User,Tags,Categories,Updated,Semantic Tags,Semantic Categories,Semantic Sentiment,Notes,Likes,Dislikes,Link,Permalink,AF Link,Device Name,VersionCode,OS
2021-12-31T23:44:07+00:00,co.uk.getmondo,,,en,,Kyro Gaming 98,5,,best bank,,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668681?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668681,,,
2021-12-31T18:29:29+00:00,co.uk.getmondo,,,en,4.12.1,Chika Achi,5,,"Great service, the best bank in the UK by all standards",,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668680?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668680,,,
2021-12-31T17:29:16+00:00,co.uk.getmondo,,,en,4.12.1,Dhanvan jentilal,5,,Very good,,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668679?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668679,,,
2021-12-31T16:58:36+00:00,co.uk.getmondo,,,en,,Kevin Woodburn,1,,Go through the sign up process and then they want you to record a video of yourself talking into a camera. I'll pass,,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668678?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668678,,,
2021-12-31T16:31:41+00:00,co.uk.getmondo,,,en,4.12.1,Cyrille Grellier,5,,absolutely brilliant,,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668677?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668677,,,
2021-12-31T16:00:48+00:00,co.uk.getmondo,,,en,3.65.0,Eliel,5,,Amazing bank.,,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668676?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668676,,,
2021-12-31T15:52:31+00:00,co.uk.getmondo,,,en,4.12.1,Josh W,3,,"Generally ok but frustrating that the app keeps logging me out every couple of days. It asks me to log back in, by sending a link to my email address. It then has a button saying Open Email App. I don't have email app on my phone, only access via PC, so I'm not distracted all the time. I therefore have to open browser and log into emails every time. Terrible idea, should just ask to re-enter account info or pin, and stop logging me out every 2 days!!",,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668675?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668675,,,
2021-12-31T11:51:45+00:00,co.uk.getmondo,,,en,4.12.1,Engr Gangi,1,,I can't make you of my card to buy things. I can't even buy recharge card to call the customer service. I will move my account from monzo as soon as I can.,,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668674?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668674,,,
2021-12-31T11:40:43+00:00,co.uk.getmondo,,,en,4.12.1,Leah Luna,5,,It's the best bank ive ever used.,,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668673?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668673,,,
2021-12-31T10:18:15+00:00,co.uk.getmondo,,,en,4.12.1,Arron Jhimb,1,,"I haven't used the card for 2 years because I have had difficult times with money so they decide to close my qccount and can't tell me why! This app is utter shite and no one should download it! IT IS A WASTE OF EVERONES TIME. 0 STARS, AVIOD THIS BANK AT ALL COSTS!!",,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668672?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668672,,,
2021-12-30T22:33:43+00:00,co.uk.getmondo,,,en,4.12.1,Victoria Bentley-Yeates,5,,"Absolutely awesome bank, the best one I have ever used over the years. I have recommended Monzo to many of my family and friends and will continue to do so. In my opinion, they are worth more than 5 stars",,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668671?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668671,,,
2021-12-30T20:21:31+00:00,co.uk.getmondo,,fr,en,,Asma Ader,5,,monzo is the best,,,,,,,,,2023-11-20T00:26:08,,,,,,,,https://appfollow.io/gp/7439/review/5651853682?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=5651853682,,,
2021-12-30T18:50:05+00:00,co.uk.getmondo,,,en,4.12.1,Dom M. Scalzo,5,,"Great Bank, and an efficient straightforward app. Couldn't ask for more. Thank you Monzo dev team!",,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668670?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668670,,,
2021-12-30T18:07:26+00:00,co.uk.getmondo,,,en,4.12.1,Sergiu Iusep,5,,I think is one of the best banking app I have ever came across.,,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668669?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668669,,,
2021-12-30T17:57:39+00:00,co.uk.getmondo,,,en,4.12.1,Shasiqraammu Bukhari,5,,oasam,,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668668?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668668,,,
2021-12-30T17:37:29+00:00,co.uk.getmondo,,,en,4.12.1,Ashleigh Hayden,5,,I love my Monzo account 💓,,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668667?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668667,,,
2021-12-30T17:24:19+00:00,co.uk.getmondo,,,en,4.12.1,Brian (Demented Pixel),5,,great bank. lots of very useful features not available in traditional banking apps,,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668666?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668666,,,
2021-12-30T17:12:44+00:00,co.uk.getmondo,,,en,4.12.1,T7 T7,5,,the best app for banking,,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668665?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668665,,,
2021-12-30T17:10:09+00:00,co.uk.getmondo,,,en,4.12.1,BB GR,1,,This bank is a joke applied 1 month ago said 48 hours to check than emailed 6 times to complain each time asking for ID when sent wouldn't respond after. Started a complaints procedure which surprise surprise sent details and heard nothing,,,,,,,,,2022-11-06T15:40:24,,,,,,,,https://appfollow.io/gp/7439/review/4754668664?s=global5,https://watch.appfollow.io/apps/my-first-workspace/reviews/1747942?review_id=4754668664,,,
