"review_date","review_year","review_month","review_week","date_id"
"2016-02-26 22:15:55+00:00","2016","2","8","1"
"2016-03-01 19:48:37+00:00","2016","3","9","2"
"2016-03-03 14:56:53+00:00","2016","3","9","3"
"2016-03-05 20:14:42+00:00","2016","3","9","4"
"2016-03-17 10:10:51+00:00","2016","3","11","5"
"2016-03-17 10:17:08+00:00","2016","3","11","6"
"2016-03-17 10:37:40+00:00","2016","3","11","7"
"2016-03-17 10:54:30+00:00","2016","3","11","8"
"2016-03-17 11:07:34+00:00","2016","3","11","9"
"2016-03-17 11:30:02+00:00","2016","3","11","10"
"2016-03-17 19:00:40+00:00","2016","3","11","11"
"2016-03-17 20:13:59+00:00","2016","3","11","12"
"2016-03-17 21:21:36+00:00","2016","3","11","13"
"2016-03-17 21:28:14+00:00","2016","3","11","14"
"2016-03-18 07:10:57+00:00","2016","3","11","15"
"2016-03-19 17:56:07+00:00","2016","3","11","16"
"2016-03-19 18:37:46+00:00","2016","3","11","17"
"2016-03-20 00:18:59+00:00","2016","3","11","18"
"2016-03-20 18:00:06+00:00","2016","3","11","19"
"2016-03-21 17:37:05+00:00","2016","3","12","20"
"2016-03-22 23:19:40+00:00","2016","3","12","21"
"2016-03-23 12:36:00+00:00","2016","3","12","22"
"2016-03-24 00:25:56+00:00","2016","3","12","23"
"2016-03-27 22:34:49+00:00","2016","3","12","24"
"2016-03-30 16:33:16+00:00","2016","3","13","25"
"2016-04-01 10:53:03+00:00","2016","4","13","26"
"2016-04-03 17:28:07+00:00","2016","4","13","27"
"2016-04-04 14:09:10+00:00","2016","4","14","28"
"2016-04-07 16:22:29+00:00","2016","4","14","29"
"2016-04-08 16:21:23+00:00","2016","4","14","30"
"2016-04-09 09:00:06+00:00","2016","4","14","31"
"2016-04-11 20:50:05+00:00","2016","4","15","32"
"2016-04-12 05:44:31+00:00","2016","4","15","33"
"2016-04-12 06:58:12+00:00","2016","4","15","34"
"2016-04-12 20:11:25+00:00","2016","4","15","35"
"2016-04-13 13:08:21+00:00","2016","4","15","36"
"2016-04-13 19:01:34+00:00","2016","4","15","37"
"2016-04-14 13:39:06+00:00","2016","4","15","38"
"2016-04-14 17:15:15+00:00","2016","4","15","39"
"2016-04-15 14:56:49+00:00","2016","4","15","40"
"2016-04-15 16:33:53+00:00","2016","4","15","41"
"2016-04-20 11:11:06+00:00","2016","4","16","42"
"2016-04-20 21:53:50+00:00","2016","4","16","43"
"2016-04-21 08:52:15+00:00","2016","4","16","44"
"2016-04-21 21:11:16+00:00","2016","4","16","45"
"2016-04-24 19:20:47+00:00","2016","4","16","46"
"2016-04-26 13:15:31+00:00","2016","4","17","47"
"2016-04-30 12:18:05+00:00","2016","4","17","48"
"2016-05-01 10:40:36+00:00","2016","5","17","49"
"2016-05-02 10:35:20+00:00","2016","5","18","50"
"2016-05-05 21:31:02+00:00","2016","5","18","51"
"2016-05-07 00:43:07+00:00","2016","5","18","52"
"2016-05-07 09:10:25+00:00","2016","5","18","53"
"2016-05-08 11:00:56+00:00","2016","5","18","54"
"2016-05-09 12:52:12+00:00","2016","5","19","55"
"2016-05-09 16:51:26+00:00","2016","5","19","56"
"2016-05-10 22:48:48+00:00","2016","5","19","57"
"2016-05-11 10:18:53+00:00","2016","5","19","58"
"2016-05-12 01:14:03+00:00","2016","5","19","59"
"2016-05-12 16:11:16+00:00","2016","5","19","60"
"2016-05-12 21:40:44+00:00","2016","5","19","61"
"2016-05-13 10:30:09+00:00","2016","5","19","62"
"2016-05-13 14:05:25+00:00","2016","5","19","63"
"2016-05-13 22:31:27+00:00","2016","5","19","64"
"2016-05-14 21:52:43+00:00","2016","5","19","65"
"2016-05-15 10:52:14+00:00","2016","5","19","66"
"2016-05-15 21:33:58+00:00","2016","5","19","67"
"2016-05-16 09:34:00+00:00","2016","5","20","68"
"2016-05-16 11:24:59+00:00","2016","5","20","69"
"2016-05-16 15:01:21+00:00","2016","5","20","70"
"2016-05-17 10:13:33+00:00","2016","5","20","71"
"2016-05-18 09:03:39+00:00","2016","5","20","72"
